articul,name,unit_id,cost,supplier_id,manufacter_id,cathegory_id,sale,count,desc,photo
Z001,Корм Royal Canin Sterilised,1,1200,1,1,1,5,20,"Сухой корм для стерилизованных кошек, сбалансированный состав",rc_sterilised.jpg
Z002,Корм Purina Pro Plan Puppy,1,950,2,2,2,10,15,"Для щенков крупных пород, с курицей и рисом",proplan_puppy.jpg
Z003,Наполнитель CatsBest комкующийся,2,450,1,3,3,0,8,"Древесный, 5 л, комкующийся, без пыли",catsbest_5l.jpg
Z004,Игрушка-мышь с кошачьей мятой,3,180,3,4,4,20,30,"Интерактивная, с натуральной мятой, пищалка",mouse_catnip.jpg
Z005,Клетка Ferplast два яруса,3,2500,1,5,5,15,5,"Для хорьков и крыс, 60×40×50 см",ferplast_2floor.jpg
Z006,Поводок Hunter нейлоновый,3,600,4,6,6,7,12,"Длина 2 м, ширина 2.5 см, карабин",hunter_leash.jpg
Z007,Корм Hill's i/d Low Fat,1,1400,2,7,2,12,10,"Диетический, для собак с чувствительным пищеварением",hills_id_lowfat.jpg
Z008,Шампунь Beaphar с ромашкой,4,320,1,8,7,0,25,"Для собак и кошек, 250 мл",beaphar_chamomile.jpg
Z009,Когтеточка настенная 50 см,3,990,3,4,8,18,7,"Сизаль, самоклеящаяся основа",kogtetochka_50.jpg
Z010,Лакомство GimCat подушечки,2,150,4,9,9,0,40,"Витаминные подушечки с таурином, 50 г",gimcat_treats.jpg
Z011,Корм Acana Pacifica,1,1650,5,10,2,8,9,"Беззерновой, с сельдью и камбалой",acana_pacifica.jpg
Z012,Корм Orijen Original,1,1850,5,11,1,5,6,"Высокобелковый, 85% мяса",orijen_original.jpg
Z013,Наполнитель Zeolit силикагель,2,890,1,12,3,10,4,"Силикагелевый, 3.8 л, абсорбирует запах",zeolit_38l.jpg
Z014,Домик для кошек мягкий,3,1300,3,13,10,5,2,"Синтепон, съёмный чехол, 45×45 см",trixie_bed.jpg
Z015,Миска двойная Ferplast,3,490,1,5,11,0,18,"Нержавеющая сталь, 0.5+0.5 л",ferplast_bowl.jpg
Z016,Корм для попугаев Prestige,2,320,4,14,12,0,14,"Зерновая смесь для средних попугаев, 1 кг",prestige_parrot.jpg
Z017,Переноска для грызунов,3,750,1,15,5,12,3,"Пластик, с ручкой, 25×15×20 см",savic_carrier.jpg
Z018,Расческа-пуходерка,3,220,6,13,7,0,22,"С металлическими зубчиками, антистатик",trixie_slicker.jpg
Z019,Корм для хомяков Little One,2,180,2,16,13,0,30,"Зерновая смесь с витаминами, 400 г",versele_laga_hamster.jpg
Z020,Ошейник от блох Beaphar,3,350,6,8,14,7,11,"Для кошек, длительность 8 месяцев",beaphar_collar.jpg
Z021,Лакомство для собак Pedigree Dentastix,2,280,4,17,9,10,45,"7 палочек, для чистки зубов",dentastix.jpg
Z022,Игрушка-колокольчик для попугая,3,90,3,4,4,0,60,"Акрил, с бубенцом",bell_toy.jpg
Z023,Корм для аквариумных рыб TetraMin,4,430,1,18,15,5,17,"Хлопья для всех тропических рыб, 100 мл",tetra_min.jpg
Z024,Спрей для ухода за шерстью,4,380,5,19,7,20,8,"Кондиционер без смывания, 200 мл",ivsb_spray.jpg
Z025,Бюстгальтер для собак (послеопер.),3,950,6,13,6,15,0,"Фиксирующий, для стерилизованных сук, размер S",trixie_postop.jpg
Z026,Трава для кошек в горшке,3,180,1,14,8,0,12,"Овес, 10 см, свежая зелень",cat_grass.jpg
Z027,Подстилка впитывающая,2,350,4,20,7,0,25,"60×60 см, 5 шт, многослойная",smarttail_mat.jpg
Z028,Корм для черепах Reptomin,5,290,1,18,16,0,9,"Гранулы для водных черепах, 250 мл",tetra_reptomin.jpg
Z029,Поводок-рулетка Flexi,3,1400,4,21,6,25,0,"Автоматическая, до 5 м, для собак до 25 кг",flexi_tape.jpg
Z030,Витамины для хорьков,2,320,6,8,17,10,6,"Паста с витаминами, 50 г",beaphar_ferret.jpg
